,gene_id,gene_name,Type
ENSG00000286448,ENSG00000286448,ENSG00000286448,Gene Expression
ENSG00000290385,ENSG00000290385,ENSG00000290385,Gene Expression
ENSG00000291215,ENSG00000291215,ENSG00000291215,Gene Expression
LINC01409,ENSG00000237491,LINC01409,Gene Expression
LINC00115,ENSG00000225880,LINC00115,Gene Expression
LINC01128,ENSG00000228794,LINC01128,Gene Expression
NOC2L,ENSG00000188976,NOC2L,Gene Expression
KLHL17,ENSG00000187961,KLHL17,Gene Expression
PLEKHN1,ENSG00000187583,PLEKHN1,Gene Expression
HES4,ENSG00000188290,HES4,Gene Expression
ISG15,ENSG00000187608,ISG15,Gene Expression
AGRN,ENSG00000188157,AGRN,Gene Expression
ENSG00000291156,ENSG00000291156,ENSG00000291156,Gene Expression
ENSG00000273443,ENSG00000273443,ENSG00000273443,Gene Expression
C1orf159,ENSG00000131591,C1orf159,Gene Expression
SDF4,ENSG00000078808,SDF4,Gene Expression
B3GALT6,ENSG00000176022,B3GALT6,Gene Expression
UBE2J2,ENSG00000160087,UBE2J2,Gene Expression
ACAP3,ENSG00000131584,ACAP3,Gene Expression
PUSL1,ENSG00000169972,PUSL1,Gene Expression
INTS11,ENSG00000127054,INTS11,Gene Expression
CPTP,ENSG00000224051,CPTP,Gene Expression
DVL1,ENSG00000107404,DVL1,Gene Expression
MXRA8,ENSG00000162576,MXRA8,Gene Expression
AURKAIP1,ENSG00000175756,AURKAIP1,Gene Expression
CCNL2,ENSG00000221978,CCNL2,Gene Expression
MRPL20-AS1,ENSG00000224870,MRPL20-AS1,Gene Expression
MRPL20,ENSG00000242485,MRPL20,Gene Expression
VWA1,ENSG00000179403,VWA1,Gene Expression
ATAD3B,ENSG00000160072,ATAD3B,Gene Expression
ATAD3A,ENSG00000197785,ATAD3A,Gene Expression
SSU72,ENSG00000160075,SSU72,Gene Expression
ENSG00000215014,ENSG00000215014,ENSG00000215014,Gene Expression
ENSG00000272106,ENSG00000272106,ENSG00000272106,Gene Expression
MIB2,ENSG00000197530,MIB2,Gene Expression
MMP23B,ENSG00000189409,MMP23B,Gene Expression
CDK11B,ENSG00000248333,CDK11B,Gene Expression
SLC35E2B,ENSG00000189339,SLC35E2B,Gene Expression
CDK11A,ENSG00000008128,CDK11A,Gene Expression
ENSG00000290854,ENSG00000290854,ENSG00000290854,Gene Expression
NADK,ENSG00000008130,NADK,Gene Expression
GNB1,ENSG00000078369,GNB1,Gene Expression
TMEM52,ENSG00000178821,TMEM52,Gene Expression
PRKCZ,ENSG00000067606,PRKCZ,Gene Expression
FAAP20,ENSG00000162585,FAAP20,Gene Expression
SKI,ENSG00000157933,SKI,Gene Expression
MORN1,ENSG00000116151,MORN1,Gene Expression
RER1,ENSG00000157916,RER1,Gene Expression
